id,name,description,creatorId,createdAt,updatedAt,upperCategory,lowerCategory,detailCategory,status,llmModel,chatbotType,maxInputLength,maxResponseLength,personaName,speakingStyle,personalityTraits,rolePrompt,prohibitedWordResponse,uploadFormats,uploadMethod,maxFileCount,maxFileSizeMB,documentManagerIds,visibility,allowedGroups,agentManagerIds,agentEditorIds,icon,backgroundColor,isCustomIcon,category,managerId,organizationId,isActive,유형
70,의학과 코딩 대회 준비,의학과 소속의 학생 및 교직원을 위한 코딩 대회 준비 안내 챗봇입니다.,user1070,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,의과대학,의학과,,active,gpt-4o,general-llm,2048,1024,도우미 하은,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,코딩 대회 준비 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,의학과,user1070,,True,학생
71,디자인학과 기술 창업 Q&A,디자인학과 소속의 학생 및 교직원을 위한 기술 창업 Q&A 안내 챗봇입니다.,user1071,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,예술대학,디자인학과,,active,gpt-4o,general-llm,2048,1024,도우미 민지,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,기술 창업 Q&A 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,디자인학과,user1071,,True,학생
1,입학안내 도우미,"입학 전형, 모집요강, 지원 절차를 안내해주는 에이전트입니다.",user1399,2025-06-26T22:11:48.231296,2025-06-26T22:11:48.231296,전체,전체,전체,active,gpt-4o,general-llm,2048,1024,도우미 민지,논리적이고 간결한 말투,유쾌하고 유익한 성격,대학 구성원들이 질문한 주제에 대해 정확하고 친절하게 답변하는 역할을 수행합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"[""PDF"", ""DOCX"", ""TXT""]",dragdrop,100,100,['user1399'],organization,[],['user1399'],['user1399'],default.png,#FFFFFF,False,AI Chatbot,user1399,univ,True,학교
72,교육학과 연구실 인턴십,교육학과 소속의 학생 및 교직원을 위한 연구실 인턴십 안내 챗봇입니다.,user1072,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,사범대학,교육학과,,active,gpt-4o,general-llm,2048,1024,도우미 지훈,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,연구실 인턴십 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,교육학과,user1072,,True,학생
9,기계공학과 졸업요건 가이드,기계공학과 소속의 학생 및 교직원을 위한 졸업요건 가이드 안내 챗봇입니다.,user1009,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,공과대학,기계공학과,,active,gpt-4o,general-llm,2048,1024,도우미 지우,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,졸업요건 가이드 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,기계공학과,user1009,,True,학교
61,기계공학과 음악 감상 가이드,기계공학과 소속의 학생 및 교직원을 위한 음악 감상 가이드 안내 챗봇입니다.,user1061,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,공과대학,기계공학과,,active,gpt-4o,general-llm,2048,1024,도우미 민지,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,음악 감상 가이드 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,기계공학과,user1061,,True,학생
47,법학과 마케팅 전략,법학과 소속의 학생 및 교직원을 위한 마케팅 전략 안내 챗봇입니다.,user1047,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,법과대학,법학과,,active,gpt-4o,general-llm,2048,1024,도우미 민수,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,마케팅 전략 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,법학과,user1047,,True,학생
63,정치외교학과 바이오 윤리 Q&A,정치외교학과 소속의 학생 및 교직원을 위한 바이오 윤리 Q&A 안내 챗봇입니다.,user1063,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,사회과학대학,정치외교학과,,active,gpt-4o,general-llm,2048,1024,도우미 현우,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,바이오 윤리 Q&A 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,정치외교학과,user1063,,True,학생
99,교양과목운영팀 대학원 진학 조언,교양과목운영팀 소속의 학생 및 교직원을 위한 대학원 진학 조언 안내 챗봇입니다.,user1099,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,교양교육원,교양과목운영팀,,active,gpt-4o,general-llm,2048,1024,도우미 지우,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,대학원 진학 조언 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,교양과목운영팀,user1099,,True,학생
33,교양과목운영팀 면접 준비 조언,교양과목운영팀 소속의 학생 및 교직원을 위한 면접 준비 조언 안내 챗봇입니다.,user1033,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,교양교육원,교양과목운영팀,,active,gpt-4o,general-llm,2048,1024,도우미 현우,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,면접 준비 조언 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,교양과목운영팀,user1033,,True,학생
3,전자공학과 전공 로드맵,전자공학과 소속의 학생 및 교직원을 위한 전공 로드맵 안내 챗봇입니다.,user1003,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,공과대학,전자공학과,,active,gpt-4o,general-llm,2048,1024,도우미 현우,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,전공 로드맵 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,전자공학과,user1003,,True,학생
27,의학과 교양 필수 안내,의학과 소속의 학생 및 교직원을 위한 교양 필수 안내 안내 챗봇입니다.,user1027,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,의과대학,의학과,,active,gpt-4o,general-llm,2048,1024,도우미 민수,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,교양 필수 안내 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,의학과,user1027,,True,학생
56,교육학과 R/Python 튜터,교육학과 소속의 학생 및 교직원을 위한 R/Python 튜터 안내 챗봇입니다.,user1056,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,사범대학,교육학과,,active,gpt-4o,general-llm,2048,1024,도우미 수빈,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,R/Python 튜터 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,교육학과,user1056,,True,학생
17,교양과목운영팀 수강신청 팁,교양과목운영팀 소속의 학생 및 교직원을 위한 수강신청 팁 안내 챗봇입니다.,user1017,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,교양교육원,교양과목운영팀,,active,gpt-4o,general-llm,2048,1024,도우미 민수,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,수강신청 팁 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,교양과목운영팀,user1017,,True,학교
13,교육학과 캡스톤디자인 도움,교육학과 소속의 학생 및 교직원을 위한 캡스톤디자인 도움 안내 챗봇입니다.,user1013,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,사범대학,교육학과,,active,gpt-4o,general-llm,2048,1024,도우미 현우,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,캡스톤디자인 도움 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,교육학과,user1013,,True,학생
22,화학과 멘토링 Q&A,화학과 소속의 학생 및 교직원을 위한 멘토링 Q&A 안내 챗봇입니다.,user1022,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,자연과학대학,화학과,,active,gpt-4o,general-llm,2048,1024,도우미 지훈,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,멘토링 Q&A 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,화학과,user1022,,True,학생
38,심리학과 현장실습 안내,심리학과 소속의 학생 및 교직원을 위한 현장실습 안내 안내 챗봇입니다.,user1038,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,사회과학대학,심리학과,,active,gpt-4o,general-llm,2048,1024,도우미 예진,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,현장실습 안내 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,심리학과,user1038,,True,학생
67,전자공학과 교양 글쓰기,전자공학과 소속의 학생 및 교직원을 위한 교양 글쓰기 안내 챗봇입니다.,user1067,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,공과대학,전자공학과,,active,gpt-4o,general-llm,2048,1024,도우미 민수,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,교양 글쓰기 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,전자공학과,user1067,,True,학생
6,기계공학과 교환학생 가이드,기계공학과 소속의 학생 및 교직원을 위한 교환학생 가이드 안내 챗봇입니다.,user1006,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,공과대학,기계공학과,,active,gpt-4o,general-llm,2048,1024,도우미 수빈,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,교환학생 가이드 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,기계공학과,user1006,,True,학교
35,물리학과 논문표절 검사법,물리학과 소속의 학생 및 교직원을 위한 논문표절 검사법 안내 챗봇입니다.,user1035,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,자연과학대학,물리학과,,active,gpt-4o,general-llm,2048,1024,도우미 채원,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,논문표절 검사법 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,물리학과,user1035,,True,학생
80,간호학과 마음챙김 명상,간호학과 소속의 학생 및 교직원을 위한 마음챙김 명상 안내 챗봇입니다.,user1080,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,의과대학,간호학과,,active,gpt-4o,general-llm,2048,1024,도우미 하은,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,마음챙김 명상 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,간호학과,user1080,,True,학생
81,화학과 AI 에세이 채점기,화학과 소속의 학생 및 교직원을 위한 AI 에세이 채점기 안내 챗봇입니다.,user1081,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,자연과학대학,화학과,,active,gpt-4o,general-llm,2048,1024,도우미 민지,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,AI 에세이 채점기 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,화학과,user1081,,True,학생
10,졸업 요건 안내,전공·교양 졸업 필수 이수 요건 안내,user1285,2025-06-26T22:11:48.231296,2025-06-26T22:11:48.231296,전체,전체,전체,active,gpt-4o,general-llm,2048,1024,지식나무 유진,밝고 캐주얼한 말투,친절하고 전문적인 성격,대학 구성원들이 질문한 주제에 대해 정확하고 친절하게 답변하는 역할을 수행합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"[""PDF"", ""DOCX"", ""TXT""]",dragdrop,100,100,['user1285'],organization,[],['user1285'],['user1285'],default.png,#FFFFFF,False,AI Chatbot,user1285,univ,True,학교
24,법학과 상담센터 정보,법학과 소속의 학생 및 교직원을 위한 상담센터 정보 안내 챗봇입니다.,user1024,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,법과대학,법학과,,active,gpt-4o,general-llm,2048,1024,도우미 서연,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,상담센터 정보 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,법학과,user1024,,True,학생
46,교양과목운영팀 경영 시뮬레이션,교양과목운영팀 소속의 학생 및 교직원을 위한 경영 시뮬레이션 안내 챗봇입니다.,user1046,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,교양교육원,교양과목운영팀,,active,gpt-4o,general-llm,2048,1024,도우미 수빈,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,경영 시뮬레이션 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,교양과목운영팀,user1046,,True,학생
60,음악학과 작곡/음악 이론,음악학과 소속의 학생 및 교직원을 위한 작곡/음악 이론 안내 챗봇입니다.,user1060,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,예술대학,음악학과,,active,gpt-4o,general-llm,2048,1024,도우미 하은,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,작곡/음악 이론 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,음악학과,user1060,,True,학생
19,법학과 AI 윤리 Q&A,법학과 소속의 학생 및 교직원을 위한 AI 윤리 Q&A 안내 챗봇입니다.,user1019,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,법과대학,법학과,,active,gpt-4o,general-llm,2048,1024,도우미 지우,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,AI 윤리 Q&A 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,법학과,user1019,,True,학생
31,기계공학과 취업박람회 준비,기계공학과 소속의 학생 및 교직원을 위한 취업박람회 준비 안내 챗봇입니다.,user1031,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,공과대학,기계공학과,,active,gpt-4o,general-llm,2048,1024,도우미 민지,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,취업박람회 준비 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,기계공학과,user1031,,True,학생
6,등록금 도우미,"등록금 납부 방법, 납부 일정, 분할 납부 등을 설명합니다.",user1343,2025-06-26T22:11:48.231296,2025-06-26T22:11:48.231296,전체,전체,전체,active,gpt-4o,general-llm,2048,1024,언어도우미 지수,논리적이고 간결한 말투,밝고 긍정적인 성격,대학 구성원들이 질문한 주제에 대해 정확하고 친절하게 답변하는 역할을 수행합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"[""PDF"", ""DOCX"", ""TXT""]",dragdrop,100,100,['user1343'],organization,[],['user1343'],['user1343'],default.png,#FFFFFF,False,AI Chatbot,user1343,univ,True,학교
44,법학과 역사 사건 설명,법학과 소속의 학생 및 교직원을 위한 역사 사건 설명 안내 챗봇입니다.,user1044,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,법과대학,법학과,,active,gpt-4o,general-llm,2048,1024,도우미 서연,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,역사 사건 설명 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,법학과,user1044,,True,학생
53,교양과목운영팀 논리적 글쓰기,교양과목운영팀 소속의 학생 및 교직원을 위한 논리적 글쓰기 안내 챗봇입니다.,user1053,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,교양교육원,교양과목운영팀,,active,gpt-4o,general-llm,2048,1024,도우미 현우,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,논리적 글쓰기 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,교양과목운영팀,user1053,,True,학생
30,화학과 창업지원센터,화학과 소속의 학생 및 교직원을 위한 창업지원센터 안내 챗봇입니다.,user1030,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,자연과학대학,화학과,,active,gpt-4o,general-llm,2048,1024,도우미 하은,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,창업지원센터 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,화학과,user1030,,True,학생
26,교양과목운영팀 교직 이수 관련,교양과목운영팀 소속의 학생 및 교직원을 위한 교직 이수 관련 안내 챗봇입니다.,user1026,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,교양교육원,교양과목운영팀,,active,gpt-4o,general-llm,2048,1024,도우미 수빈,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,교직 이수 관련 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,교양과목운영팀,user1026,,True,학생
7,법학과 학사일정 질문,법학과 소속의 학생 및 교직원을 위한 학사일정 질문 안내 챗봇입니다.,user1007,2025-06-26T22:17:47.090596,2025-06-26T22:17:47.090596,법과대학,법학과,,active,gpt-4o,general-llm,2048,1024,도우미 민수,공손하고 친절한 말투,친절하고 전문적인 성격으로 정확한 정보를 제공,학사일정 질문 관련 전문 상담을 제공합니다.,죄송합니다. 해당 내용에 대해서는 답변드릴 수 없습니다.,"['PDF', 'DOCX', 'TXT']",dragdrop,100,100,[],private,[],[],[],default.png,#ffffff,False,법학과,user1007,,True,학교
